Date,Narration,Debit,Credit,Category
05/01/26,UPI/PAYMENT TO VENDOR SHARMA TRADERS/REF123,21000,,Inventory
08/01/26,NEFT CR-HDFC0001234-CLIENT PAYMENTS LTD,,45000,Sales
10/01/26,ECS DEBIT-RENTAL PAYMENT JAN 2026,15000,,Rent
14/01/26,UPI/SALARY TRANSFER RAVI KUMAR,14000,,Salaries
14/01/26,UPI/SALARY TRANSFER PRIYA SHAH,14000,,Salaries
18/01/26,NEFT CR-ICICI0005678-ONLINE MARKETPLACE PAYOUT,,34000,Sales
22/01/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5200,,Utilities
28/01/26,IMPS/PURCHASE INVENTORY MUMBAI SUPPLIERS,17500,,Inventory
02/02/26,NEFT CR-AXIS000999-CLIENT B PAYMENT,,58000,Services
06/02/26,ECS DEBIT-RENTAL PAYMENT FEB 2026,15000,,Rent
09/02/26,UPI/SALARY TRANSFER RAVI KUMAR,14000,,Salaries
09/02/26,UPI/SALARY TRANSFER PRIYA SHAH,14000,,Salaries
13/02/26,UPI/PAYMENT GOOGLE ADS INDIA,6000,,Marketing
17/02/26,NEFT CR-SBI0009876-AMAZON SELLER PAYOUT,,41000,Sales
21/02/26,NACH DEBIT-ELECTRICITY BOARD MSEB,4800,,Utilities
01/03/26,NEFT CR-KOTAK0003333-BULK ORDER CLIENT C,,85000,Sales
05/03/26,ECS DEBIT-RENTAL PAYMENT MAR 2026,15000,,Rent
08/03/26,UPI/SALARY TRANSFER RAVI KUMAR,14000,,Salaries
08/03/26,UPI/SALARY TRANSFER PRIYA SHAH,14000,,Salaries
12/03/26,UPI/PAYMENT INVENTORY SUPPLIER,35000,,Inventory
16/03/26,NEFT CR-PNB0007777-MEESHO PAYOUT,,29000,Sales
22/03/26,NACH DEBIT-ELECTRICITY BOARD MSEB,5500,,Utilities
