Date,Description,Amount,Type,Category
2026-01-01,Dine-in Revenue - New Year,48000,income,Sales
2026-01-05,Raw Material Purchase - Vegetables & Spices,12000,expense,Inventory
2026-01-07,Chef & Staff Salaries,35000,expense,Salaries
2026-01-09,Zomato Delivery Payout,22000,income,Sales
2026-01-10,Restaurant Rent,20000,expense,Rent
2026-01-15,Swiggy Delivery Payout,18500,income,Sales
2026-01-16,Gas & Electricity Bill,8000,expense,Utilities
2026-01-20,Catering Order - Corporate Event,55000,income,Services
2026-01-22,Raw Material Purchase - Meat & Dairy,15000,expense,Inventory
2026-01-28,Packaging Material,3500,expense,Inventory
2026-02-01,Dine-in Revenue - February Week 1,41000,income,Sales
2026-02-05,Chef & Staff Salaries,35000,expense,Salaries
2026-02-07,Restaurant Rent,20000,expense,Rent
2026-02-10,Zomato + Swiggy Combined Payout,38000,income,Sales
2026-02-14,Valentine Day Special Revenue,62000,income,Sales
2026-02-16,Raw Material Purchase,18000,expense,Inventory
2026-02-20,Gas & Electricity Bill,9500,expense,Utilities
2026-02-24,New Kitchen Equipment - Fryer,25000,expense,Equipment
2026-03-01,Dine-in Revenue - March Week 1,45000,income,Sales
2026-03-05,Chef & Staff Salaries,35000,expense,Salaries
2026-03-07,Restaurant Rent,20000,expense,Rent
2026-03-12,Food Delivery Apps Payout,42000,income,Sales
2026-03-15,Raw Material Purchase,16000,expense,Inventory
2026-03-18,Instagram Ad Campaign,4000,expense,Marketing
2026-03-22,Gas & Electricity Bill,8800,expense,Utilities
2026-03-24,Bulk Catering Order - Wedding,95000,income,Services
