Date,Description,Amount,Type,Category
2026-01-04,Web Development Project - Client A,75000,income,Services
2026-01-06,Adobe Creative Cloud Subscription,4200,expense,Software
2026-01-08,Figma Pro Annual Plan,3000,expense,Software
2026-01-12,Logo Design Project - Startup,18000,income,Services
2026-01-15,Laptop SSD Upgrade,6500,expense,Equipment
2026-01-20,SEO Audit Project - Client B,35000,income,Services
2026-01-25,Home Office Internet Bill,1800,expense,Utilities
2026-01-28,GitHub Copilot & Tools,2000,expense,Software
2026-02-03,React App Development - Client C,90000,income,Services
2026-02-06,Adobe CC + Notion Subscriptions,5000,expense,Software
2026-02-10,GST Filing Fee - CA,3500,expense,Taxes
2026-02-14,Social Media Marketing Consultation,25000,income,Services
2026-02-18,Home Office Internet Bill,1800,expense,Utilities
2026-02-22,UX/UI Design Retainer - Client D,40000,income,Services
2026-02-26,External Hard Drive - Backup,4000,expense,Equipment
2026-03-02,Mobile App UI Project,65000,income,Services
2026-03-05,Software Subscriptions,5500,expense,Software
2026-03-09,Content Writing Contract,22000,income,Services
2026-03-12,Home Office Internet Bill,1800,expense,Utilities
2026-03-15,Professional Course - Udemy,3000,expense,Software
2026-03-18,Brand Identity Project - Startup B,45000,income,Services
2026-03-22,Income Tax Advance Payment,18000,expense,Taxes
2026-03-24,E-commerce Redesign Project,80000,income,Services
