Date,Description,Amount,Type,Category
2026-01-03,Product Sales - Electronics,62000,income,Sales
2026-01-07,Shop Rent - January,15000,expense,Rent
2026-01-10,Staff Salary - 2 employees,28000,expense,Salaries
2026-01-14,Inventory Restock - Mobile accessories,21000,expense,Inventory
2026-01-18,Online Sales - Flipkart payout,34000,income,Sales
2026-01-22,Electricity & Internet Bill,5200,expense,Utilities
2026-01-28,Wholesale Purchase,17500,expense,Inventory
2026-02-02,Product Sales - In-store,58000,income,Sales
2026-02-06,Shop Rent - February,15000,expense,Rent
2026-02-09,Staff Salary - 2 employees,28000,expense,Salaries
2026-02-13,Google Ads Campaign,6000,expense,Marketing
2026-02-17,Amazon Seller Payout,41000,income,Sales
2026-02-21,Electricity & Internet Bill,4800,expense,Utilities
2026-02-25,New Display Rack,8000,expense,Equipment
2026-03-01,Product Sales - In-store,71000,income,Sales
2026-03-05,Shop Rent - March,15000,expense,Rent
2026-03-08,Staff Salary - 2 employees,28000,expense,Salaries
2026-03-12,Inventory Restock - Laptops,35000,expense,Inventory
2026-03-16,Online Sales - Meesho payout,29000,income,Sales
2026-03-20,Accounting Software,2500,expense,Software
2026-03-22,Electricity & Internet Bill,5500,expense,Utilities
2026-03-24,Bulk Order - Corporate client,85000,income,Sales
