Date,Description,Amount,Type,Category
2026-01-05,Product Sales January,52000,income,Sales
2026-01-08,Office Rent,12000,expense,Rent
2026-01-10,Staff Salaries,30000,expense,Salaries
2026-01-15,Raw Material Purchase,14000,expense,Inventory
2026-01-20,Utility Bills,4000,expense,Utilities
2026-02-05,Product Sales February,48000,income,Sales
2026-02-08,Office Rent,12000,expense,Rent
2026-02-12,Staff Salaries,30000,expense,Salaries
2026-02-16,Raw Material Purchase,16000,expense,Inventory
2026-02-20,Utility Bills,4200,expense,Utilities
2026-03-02,Product Sales March - Low Season,31000,income,Sales
2026-03-06,Office Rent,12000,expense,Rent
2026-03-09,Staff Salaries,30000,expense,Salaries
2026-03-11,Raw Material Purchase - PRICE SPIKE,38000,expense,Inventory
2026-03-14,Equipment Breakdown Repair,22000,expense,Equipment
2026-03-18,Utility Bills - Summer Surge,11500,expense,Utilities
2026-03-20,Emergency Marketing Campaign,15000,expense,Marketing
2026-03-24,Consultant Fee - Unplanned,18000,expense,Services
